date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:01	19385/19385	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Apr%202021%2004:18:36%20GMT	https://mysch.id/cms_baru/upload/image/a3.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/a3.jpg	(from http://smp274.mysch.id/)
22:52:01	41421/41421	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Apr%202021%2004:18:36%20GMT	https://mysch.id/cms_baru/upload/image/a4.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/a4.jpg	(from http://smp274.mysch.id/)
22:52:03	169809/169809	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:18:03%20GMT	https://storage.googleapis.com/s.mysch.id/picture/14927484UstadSMP274KyaiRubyanto.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/14927484UstadSMP274KyaiRubyanto.jpg	(from http://smp274.mysch.id/)
22:52:05	201574/201574	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:22:44%20GMT	https://storage.googleapis.com/s.mysch.id/picture/81406362PesantrennyaygberagamaNasrani.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/81406362PesantrennyaygberagamaNasrani.jpg	(from http://smp274.mysch.id/)
22:52:06	70458/70458	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2026%20Sep%202018%2000:17:49%20GMT	https://storage.googleapis.com/s.mysch.id/picture/11747837Pesantren1.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/picture/11747837Pesantren1.jpg	(from http://smp274.mysch.id/)
22:52:07	153897/153897	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Sep%202022%2001:25:57%20GMT	https://mysch.id/cms_baru/upload/image/banner-desago.png	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/banner-desago.png	(from http://smp274.mysch.id/)
22:52:07	71783/71783	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2004:58:11%20GMT	https://mysch.id/cms_baru/upload/image/banner-makinmahir.jpg	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/banner-makinmahir.jpg	(from http://smp274.mysch.id/)
22:52:08	160277/160277	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Aug%202021%2007:20:13%20GMT	https://mysch.id/cms_baru/upload/image/banner-bumitekno.png	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/mysch.id/cms_baru/upload/image/banner-bumitekno.png	(from http://smp274.mysch.id/)
22:52:08	20340/20340	---M--	200	added ('OK')	application/x-javascript	etag:%225644e6835941af44dcb5cead916c2b79%22	https://storage.googleapis.com/s.mysch.id/themes/academy/js/bootstrap/popper.min.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/js/bootstrap/popper.min.js	(from http://smp274.mysch.id/)
22:52:09	50676/50676	---M--	200	added ('OK')	application/x-javascript	etag:%22ce6e785579ae4cb555c9de311d1b9271%22	https://storage.googleapis.com/s.mysch.id/themes/academy/js/bootstrap/bootstrap.min.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/js/bootstrap/bootstrap.min.js	(from http://smp274.mysch.id/)
